metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Fe,130.0,11.36530886381562,400.0,15.0,73.941709047127,0.30497889626301666,0.21906044878037892,7.905168647522283,0.9832455847103717,1.9528552865395714,-5.495261380595027
Fe,135.0,10.93860163074575,400.0,20.0,80.05766459987584,0.3302046774642896,0.2272663620257164,8.108630500780007,0.9928019818478958,1.2796981086278416,-5.529774813146686
Fe,140.0,10.553503809908337,400.0,25.0,88.22545166040895,0.363893413020092,0.23776944350804882,8.30469207939127,1.0180301408944255,0.6291187330945023,-5.571965786563338
Fe,145.0,10.564664416943764,400.0,25.0,77.77103896267695,0.3207732946630731,0.22423479525704695,8.493872866725853,0.8966647272032877,0.6291187330945023,-5.517189797045251
Fe,150.0,10.198659047084616,400.0,30.0,86.64043895315929,0.3573558926915888,0.23576898718716055,8.676639495976708,0.9288946712291585,0.0,-5.564092540125809
Fe,155.0,10.214229373010419,400.0,30.0,76.61011106692318,0.3159849483717766,0.2226792829401561,8.853412684662041,0.8221524570364451,0.0,-5.510657988169812
Fe,160.0,10.25383942357891,400.0,30.0,68.45881484101872,0.28236423067231425,0.21142224698957976,9.024573067808177,0.7354798781088385,0.0,-5.461801272564237
Fe,165.0,10.31039827546026,400.0,30.0,61.711980538298874,0.25453633616690713,0.2016078784689724,9.190466133257882,0.6637879275664988,0.0,-5.416741380764631
Fe,170.0,10.379079546867013,400.0,30.0,56.04217145004318,0.23115072417549168,0.19295402153989377,9.351406420009743,0.6035683811418829,0.0,-5.374886850627487
Fe,175.0,10.456501957870938,400.0,30.0,51.216153885047625,0.21124540241209835,0.18525072278363094,9.507681107826158,0.5523247248490489,0.0,-5.335778857894862
Fe,180.0,10.540240019032677,400.0,30.0,47.063287351389846,0.19411654958891925,0.17833801318420744,9.659553101046367,0.5082323552131829,0.0,-5.299054155394835
Fe,185.0,10.628519630604604,400.0,30.0,43.45584542155952,0.1792373471432283,0.17209152056689223,9.80726368978868,0.4699270731058027,0.0,-5.264420099624953
Fe,190.0,10.72002204420762,400.0,30.0,40.29632406057936,0.16620563135238817,0.16641284637465575,9.951034856190242,0.4363687102903341,0.0,-5.231637326636658
Fe,195.0,10.813753816130362,400.0,30.0,37.50900417669629,0.15470909235331226,0.16122294740498325,10.091071281026833,0.4067504953452327,0.0,-5.200507430460419
Fe,200.0,10.908958300066935,400.0,30.0,35.03419242665485,0.14450151985177148,0.15645747258048304,10.22756209624307,0.38043721139160974,0.0,-5.170864007223931
Fe,205.0,11.00505405045616,400.0,30.0,32.824198038475814,0.13538620918421948,0.15206340658028927,10.360682421050402,0.3569220136412496,0.0,-5.142566020402093
Fe,210.0,11.100914351688147,425.0,30.0,10.582045513118347,0.04364655080854177,0.09533558848104665,10.490594712895817,0.4713374995027422,0.0,-4.650941521293211
