purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.05,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1108.19,1016.15,1089.61,1326.06
0.051,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1112.86,1018.56,1093.41,1328.36
0.052,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1117.53,1020.97,1097.21,1330.66
0.053,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1122.2,1023.39,1101.0,1332.96
0.054,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1126.87,1025.8,1104.79,1335.27
0.055,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1131.54,1028.21,1108.58,1337.57
0.056,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1136.2,1030.62,1112.37,1339.87
0.057,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1140.87,1033.03,1116.16,1342.18
0.058,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1145.53,1035.44,1119.95,1344.48
0.059,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1150.19,1037.84,1123.74,1346.79
0.06,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1154.85,1040.25,1127.52,1349.09
0.061,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1159.51,1042.66,1131.31,1351.4
0.062,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1164.17,1045.06,1135.09,1353.7
0.063,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1168.82,1047.47,1138.88,1356.01
