case,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
Fe,640.0,22.691179326213014,450.0,30.0,0.3665873353721028,0.001512020784568656,0.036878228720076,0.1642159252319042,16.498223535349993,0.055176859073771484,0.0,5.935172757052703
Fe,645.0,22.7422843601962,450.0,30.0,0.36191843395257844,0.0014927635017706637,0.03679641247789622,0.16512361044252735,16.5401778267216,0.054402925819243664,0.0,5.944290821233164
Fe,650.0,22.793029733750483,450.0,30.0,0.3573574825539541,0.0014739514680567128,0.03671599726558798,0.1660511990446319,16.581808143498993,0.05364688164773289,0.0,5.953333560825481
Fe,655.0,22.843421097315424,450.0,30.0,0.35290103261310485,0.0014555704595335616,0.03663694729525414,0.16699885795210456,16.6231194508835,0.05290815581660355,0.0,5.962302114908429
Fe,660.0,22.893464001628537,450.0,30.0,0.34854577501316114,0.0014376068274659641,0.036559227991202974,0.1679667667924029,16.6641166007997,0.05218620073884225,0.0,5.971197598478923
Fe,665.0,22.94316390058864,450.0,30.0,0.34428853328181985,0.0014200474702225198,0.036482805938753866,0.16895511794727705,16.704804335315153,0.05148049084486794,0.0,5.9800211030723665
Fe,670.0,22.9925261540666,450.0,30.0,0.34012625717770334,0.0014028798068220656,0.03640764883563779,0.16996411661622998,16.74518728993209,0.050790521509946895,0.0,5.988773697365872
Fe,675.0,23.041556030664637,450.0,30.0,0.3360560166394334,0.0013860917519761143,0.03633372544583909,0.17099398090243095,16.785269996756718,0.0501158080429174,0.0,5.9974564277647575
Fe,680.0,23.090258710425726,450.0,30.0,0.33207499607394175,0.0013696716925305017,0.036261005555735276,0.17204494192088404,16.82505688755156,0.04945588473218474,0.0,6.006070318972826
Fe,685.0,23.1386392874933,450.0,30.0,0.3281804889620488,0.0013536084652156371,0.03618945993239728,0.1731172439286552,16.86455229667601,0.04881030394482981,0.0,6.0146163745461925
Fe,690.0,23.186702772730737,450.0,30.0,0.324369892762734,0.00133789133562873,0.036119060283955354,0.17421114447770164,16.903760463919934,0.04817863527906674,0.0,6.023095577434451
Fe,695.0,23.234454096275872,450.0,30.0,0.32064070409175227,0.0013225099783475821,0.03604977922181088,0.1753269145883195,16.94268553723498,0.04756046475403825,0.0,6.031508890498375
Fe,700.0,23.281898110082633,450.0,30.0,0.3169905141679531,0.0013074544581485408,0.03598159022478362,0.1764648389472057,16.981331575367978,0.04695539405867442,0.0,6.039857257025844
Fe,705.0,23.329039590393638,450.0,30.0,0.31341700449863863,0.0012927152122103908,0.035914467604862874,0.1776252161258206,17.019702550400666,0.04636303982827361,0.0,6.048141601221804
Fe,710.0,23.37588324018591,450.0,30.0,0.30991794279760826,0.0012782830332779794,0.035848386474627514,0.17880835882244847,17.057802350199598,0.045783032966180574,0.0,6.056362828689777
Fe,715.0,23.422433691576128,450.0,30.0,0.3064911791184598,0.0012641490537136876,0.03578332271618291,0.18001459412705867,17.095634780780166,0.0452150180003774,0.0,6.0645218268986305
Fe,720.0,23.468695508190056,450.0,30.0,0.3031346421907186,0.0012503047303854815,0.03571925295154276,0.18124426380959935,17.133203568588186,0.044658652474217575,0.0,6.072619465636124
Fe,725.0,23.514736022322015,450.0,30.0,0.2998463359467368,0.0012367418303418111,0.035656154514379514,0.18256055945527255,17.17051236270256,0.04411360636947953,0.0,6.080656597449983
Fe,730.0,23.561772658663116,450.0,30.0,0.2966243362265346,0.0012234524172204464,0.035594005423041315,0.18517684423076383,17.207564736962272,0.04357956155629282,0.0,6.088634058073525
Fe,735.0,23.608547793052363,450.0,30.0,0.2934667876548548,0.0012104288383676229,0.03553278435486007,0.18783150971200802,17.24436419202073,0.04305621127970987,0.0,6.096552666846691
Fe,740.0,23.65506618514484,450.0,30.0,0.29037190067241353,0.001197663712593182,0.03547247062152936,0.1905254067028273,17.280914157330496,0.042543259661902214,0.0,6.1044132271154945
Fe,745.0,23.701332546328484,450.0,30.0,0.2873379487195446,0.0011851499185542688,0.03541304414563386,0.1932594113411525,17.317217993061234,0.04204042123602451,0.0,6.112216526625886
Fe,750.0,23.747351542436867,450.0,30.0,0.2843632655612553,0.0011728805837222993,0.03535448543822882,0.19603442604905258,17.353278991953417,0.041547420504829694,0.0,6.119963337907615
Fe,755.0,23.793127796441155,450.0,30.0,0.28144624274186497,0.0011608490738843986,0.03529677557734139,0.19885138052583792,17.389100381110527,0.04106399151346863,0.0,6.127654418640094
Fe,760.0,23.838665891170987,450.0,30.0,0.27858532717162615,0.0011490489831892132,0.035239896187539116,0.20171123278653363,17.42468532373206,0.04058987745937722,0.0,6.135290512022285
Fe,765.0,23.883970371985555,450.0,30.0,0.275779018820487,0.0011374741246346373,0.035183829420166624,0.2046149702481607,17.46003692078975,0.0401248302947757,0.0,6.142872347108066
Fe,770.0,23.929045749512678,450.0,30.0,0.273025868536864,0.0011261185210711545,0.03512855793469083,0.2075636108664109,17.49515821264915,0.039668610380366204,0.0,6.150400639160985
Fe,775.0,23.97389650235007,450.0,30.0,0.2703244759616151,0.0011149763965978424,0.03507406488064397,0.21055820432546496,17.530052180638748,0.03922098613158499,0.0,6.15787608997703
Fe,780.0,24.018527079803004,450.0,30.0,0.26767348754643056,0.0011040421683890555,0.03502033388042304,0.21359983328387588,17.56472174856865,0.038781733693115585,0.0,6.165299388208549
Fe,785.0,24.06294190463231,450.0,30.0,0.26507159466471897,0.001093310438902613,0.034967349012779377,0.21668961467962322,17.599169784200708,0.03835063662492328,0.0,6.172671209675375
Fe,790.0,24.107145375831966,450.0,30.0,0.26251753181289844,0.001082775988460872,0.0349150947970236,0.21982870109764308,17.633399100671994,0.037927485606424824,0.0,6.179992217670421
