price_USD_kg,cost,T_C,P_bar,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
51.475478,14.896959646248536,425.0,175.0,30.0,8.141293821457646,0.21606485671424283,0.0863146950711287,0.3680222563200478,9.507681107826158,0.8462741545195622,0.0,3.8726025757973965
54.252747,14.908617046079616,425.0,175.0,30.0,8.141293821457646,0.2277222565453218,0.0863146950711287,0.3680222563200478,9.507681107826158,0.8462741545195622,0.0,3.8726025757973965
57.179858,14.920903397627466,425.0,175.0,30.0,8.141293821457646,0.2400086080931731,0.0863146950711287,0.3680222563200478,9.507681107826158,0.8462741545195622,0.0,3.8726025757973965
60.264895,14.933852632938368,425.0,175.0,30.0,8.141293821457646,0.2529578434040747,0.0863146950711287,0.3680222563200478,9.507681107826158,0.8462741545195622,0.0,3.8726025757973965
63.516381,14.946206211121554,425.0,180.0,30.0,7.0984428794422625,0.2324551402184419,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
66.943295,14.958747917085352,425.0,180.0,30.0,7.0984428794422625,0.24499684618223952,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
70.555102,14.971966288305635,425.0,180.0,30.0,7.0984428794422625,0.2582152174025228,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
74.361777,14.985897830955885,425.0,180.0,30.0,7.0984428794422625,0.27214676005277294,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
78.373835,15.000581027483637,425.0,180.0,30.0,7.0984428794422625,0.28682995658052407,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
82.602357,15.016056431764412,425.0,180.0,30.0,7.0984428794422625,0.30230536086129955,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
87.059021,15.032366782554494,425.0,180.0,30.0,7.0984428794422625,0.31861571165138136,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
91.756136,15.049557127922993,425.0,180.0,30.0,7.0984428794422625,0.3358060570198799,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
96.706676,15.067674949683918,425.0,180.0,30.0,7.0984428794422625,0.353923878780805,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
101.924313,15.08677028416848,425.0,180.0,30.0,7.0984428794422625,0.3730192132653678,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
107.423459,15.1068958759353,425.0,180.0,30.0,7.0984428794422625,0.39314480503218596,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
113.219301,15.128107305862233,425.0,180.0,30.0,7.0984428794422625,0.4143562349591199,0.08206630085446197,0.33261901147522055,9.659553101046367,0.7647429371460784,0.0,3.874769720380986
119.327848,15.148804081947002,425.0,185.0,30.0,6.237550738484763,0.38374808106473873,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
125.765971,15.169508530978119,425.0,185.0,30.0,6.237550738484763,0.40445253009585475,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
132.551451,15.191330050202223,425.0,185.0,30.0,6.237550738484763,0.4262740493199604,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
139.70303,15.21432891227701,425.0,185.0,30.0,6.237550738484763,0.44927291139474523,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
147.240459,15.238568634717254,425.0,185.0,30.0,6.237550738484763,0.47351263383498987,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
155.184557,15.264116169633748,425.0,185.0,30.0,6.237550738484763,0.4990601687514851,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
163.557265,15.291042077392644,425.0,185.0,30.0,6.237550738484763,0.5259860765103797,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
172.381708,15.319420726002104,425.0,185.0,30.0,6.237550738484763,0.5543647251198406,0.07832741914596489,0.30317007245452776,9.80726368978868,0.6961700161061514,0.0,3.880124803386939
181.682257,15.346918979446306,425.0,190.0,30.0,5.5181413700655835,0.5168870551602348,0.07500816625554134,0.278329045403766,9.951034856190242,0.6377463842773429,0.0,3.887913472159178
191.484602,15.37480670675869,425.0,190.0,30.0,5.5181413700655835,0.5447747824726199,0.07500816625554134,0.278329045403766,9.951034856190242,0.6377463842773429,0.0,3.887913472159178
201.815814,15.39061245846997,450.0,195.0,30.0,1.9926208301224295,0.20733383312113182,0.05426490210232549,0.11463774794223058,10.091071281026833,0.8947944021930849,0.0,4.028510292084365
212.704429,15.401798788423926,450.0,195.0,30.0,1.9926208301224295,0.218520163075088,0.05426490210232549,0.11463774794223058,10.091071281026833,0.8947944021930849,0.0,4.028510292084365
