Purge,1 wt% Re / 200 C,5 wt% Re / 200 C,1 wt% Re / 250 C,5 wt% Re / 250 C
27.6,2146.54,1551.9,1933.19,1845.14
27.7,2151.09,1554.25,1936.89,1847.42
27.8,2155.65,1556.59,1940.59,1849.71
27.9,2160.2,1558.94,1944.28,1851.99
28,2164.75,1561.29,1947.98,1854.27
28.1,2169.31,1563.63,1951.68,1856.56
28.2,2173.86,1565.98,1955.38,1858.84
28.3,2178.41,1568.33,1959.08,1861.13
28.4,2182.96,1570.68,1962.77,1863.41
28.5,2187.51,1573.02,1966.47,1865.69
28.6,2192.07,1575.37,1970.17,1867.97
28.7,2196.62,1577.72,1973.87,1870.26
28.8,2201.17,1580.06,1977.56,1872.54
28.9,2205.72,1582.41,1981.26,1874.82
29,2210.27,1584.75,1984.96,1877.11
29.1,2214.82,1587.1,1988.65,1879.39
29.2,2219.37,1589.45,1992.35,1881.67
29.3,2223.92,1591.79,1996.05,1883.95
29.4,2228.47,1594.14,1999.74,1886.24
29.5,2233.03,1596.48,2003.44,1888.52
29.6,2237.58,1598.83,2007.14,1890.8
29.7,2242.12,1601.17,2010.83,1893.08
29.8,2246.67,1603.52,2014.53,1895.37
29.9,2251.22,1605.86,2018.22,1897.65
30,2255.77,1608.21,2021.92,1899.93
30.1,2260.32,1610.55,2025.61,1902.21
30.2,2264.87,1612.9,2029.31,1904.49
30.3,2269.42,1615.24,2033,1906.77
30.4,2273.97,1617.59,2036.7,1909.06
30.5,2278.52,1619.93,2040.39,1911.34
30.6,2283.06,1622.28,2044.08,1913.62
30.7,2287.61,1624.62,2047.78,1915.9
30.8,2292.16,1626.96,2051.47,1918.18
30.9,2296.71,1629.31,2055.17,1920.46
31,2301.25,1631.65,2058.86,1922.74
31.1,2305.8,1634,2062.55,1925.02
31.2,2310.35,1636.34,2066.25,1927.31
31.3,2314.89,1638.68,2069.94,1929.59
31.4,2319.44,1641.03,2073.63,1931.87
31.5,2323.99,1643.37,2077.33,1934.15
31.6,2328.53,1645.71,2081.02,1936.43
31.7,2333.08,1648.06,2084.71,1938.71
31.8,2337.62,1650.4,2088.4,1940.99
31.9,2342.17,1652.74,2092.1,1943.27
32,2346.72,1655.08,2095.79,1945.55
32.1,2351.26,1657.43,2099.48,1947.83
32.2,2355.81,1659.77,2103.17,1950.11
32.3,2360.35,1662.11,2106.86,1952.39
32.4,2364.9,1664.46,2110.55,1954.67
32.5,2369.44,1666.8,2114.25,1956.95
32.6,2373.98,1669.14,2117.94,1959.23
32.7,2378.53,1671.48,2121.63,1961.51
32.8,2383.07,1673.82,2125.32,1963.79
32.9,2387.62,1676.17,2129.01,1966.07
33,2392.16,1678.51,2132.7,1968.35
33.1,2396.7,1680.85,2136.39,1970.63
