failure_mode,class,description,model,tier,variant,budget_CU,n_runs,n_failed,fraction
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,500,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,1200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,2000,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,all,35,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,250,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,300,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,500,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,1200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,anonymous,2000,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,all,35,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,250,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,300,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,500,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.5-2026-04-23,strong,named,1200,5,0,0.0
