model,policy,variant,budget_CU,n,P_winner_correct,P_pair_correct,P_reachability_correct,P_full_decision_correct,n_break_even_reported,mean_break_even_rel_error,median_break_even_rel_error,n_break_even_exact,mean_spent_CU,mean_CU_to_first_correct,n_first_correct,mean_CU_to_stable_correct,n_stable_correct,mean_unnecessary_CU_fraction,mean_regret_USD_t,mean_stopping_efficiency,mean_action_errors,mean_steps,mean_tokens
baseline,D_fixed_voi,anonymous,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,anonymous,500,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,anonymous,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,anonymous,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,anonymous,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,named,200,1,1.0,0.0,0.0,0.0,0,,,0,193.0,155.0,1,155.0,1,0.0,0.0,0.8031088082901554,0.0,12.0,
baseline,D_fixed_voi,named,250,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,247.0,155.0,1,155.0,1,0.11740890688259109,0.0,0.6275303643724697,0.0,15.0,
baseline,D_fixed_voi,named,300,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,named,500,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,named,800,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,named,1200,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
baseline,D_fixed_voi,named,2000,1,1.0,1.0,1.0,1.0,1,9.887116682761115e-16,9.887116682761115e-16,1,281.0,155.0,1,155.0,1,0.10320284697508897,0.0,0.5516014234875445,0.0,17.0,
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,200,5,0.8,0.4,0.2,0.2,1,9.887116682761115e-16,9.887116682761115e-16,1,190.2,147.5,4,147.5,4,0.18021519543258674,200.0,0.7713524309592085,2.6,8.4,43207.2
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,250,5,0.6,0.4,0.4,0.4,2,9.887116682761115e-16,9.887116682761115e-16,2,214.8,145.0,3,145.0,3,0.24917173335275056,201.34777802223797,0.7258622163174292,3.0,11.0,51936.6
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,300,5,1.0,0.2,0.2,0.2,3,0.6633536000737911,0.9950304001106862,1,240.4,150.8,5,150.8,5,0.27210782781104165,0.0,0.6370241097536282,1.6,12.0,56229.2
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,500,5,1.0,0.6,0.4,0.4,2,9.887116682761115e-16,9.887116682761115e-16,2,364.8,287.4,5,287.4,5,0.3459239427754902,0.0,0.7332618201549581,1.4,12.0,55843.4
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,800,5,1.0,1.0,0.8,0.8,4,9.887116682761115e-16,9.887116682761115e-16,4,364.4,244.6,5,244.6,5,0.39208976315634303,0.0,0.7302541769391314,1.0,17.2,99994.0
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,1200,5,0.8,0.8,0.4,0.4,3,9.887116682761115e-16,9.887116682761115e-16,3,290.0,242.0,4,242.0,4,0.3948870795045134,200.0,0.6521596715798456,4.8,17.0,51300.6
gpt-5.4-mini-2026-03-17,E_llm_agent,anonymous,2000,5,1.0,0.6,0.6,0.6,3,9.887116682761115e-16,9.887116682761115e-16,3,407.8,304.4,5,304.4,5,0.27428653904403755,0.0,0.7210261247481824,0.8,12.8,70496.8
