metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Ru,285.0,22.361158319311055,450.0,5.0,0.0689788106723209,1.9151901012097714,0.07259016914783673,12.136937489694793,0.2413184135042267,3.371773328637891,-2.2074496277983147
Ru,290.0,22.35317457371047,450.0,5.0,0.06492532828598428,1.802645549251366,0.07340456225004792,12.230698100496761,0.23290017353379983,3.371773328637891,-2.1811480800336773
Ru,295.0,22.352566823269918,450.0,5.0,0.06118770152469317,1.698870698605617,0.07423581453817037,12.322855887076004,0.22495129205924136,3.371773328637891,-2.1553980652962514
Ru,300.0,22.31861883913703,450.0,10.0,0.08198599006941362,2.276333196939716,0.07602568669585053,12.413464729747618,0.222599299478924,2.64978633617695,-2.2824735713873627
Ru,305.0,22.290465626600415,450.0,10.0,0.07737222853920894,2.1482325479742475,0.07685897040414262,12.50257583682592,0.21515619875973938,2.64978633617695,-2.257319031724765
Ru,310.0,22.27058844795989,450.0,10.0,0.0731027391161577,2.029690581237661,0.07770948173912949,12.590237918432951,0.2081127053162559,2.64978633617695,-2.232667575795205
Ru,315.0,22.258134991268783,450.0,10.0,0.06914606153646678,1.9198338055054667,0.07857680598085322,12.676497346400367,0.2014395055203116,2.64978633617695,-2.208501374116415
Ru,320.0,22.25234749583163,450.0,10.0,0.06547411711069645,1.8178826186426633,0.07946057502302124,12.761398301579085,0.1951100014389996,2.64978633617695,-2.18480357664565
Ru,325.0,22.252550976345333,450.0,10.0,0.06206179209203479,1.723139739863605,0.08036046302024138,12.844982909728083,0.18910000801899174,2.64978633617695,-2.1615582378632916
Ru,330.0,22.229142402843713,450.0,15.0,0.08267389865737657,2.295432913292646,0.08219441221633023,12.927291367028793,0.18762481769918246,1.9528552865395714,-2.2861023439348713
Ru,335.0,22.20402252380132,450.0,15.0,0.07844858586923063,2.1781175066119776,0.08309879153805778,13.008362056161179,0.18194470578987784,1.9528552865395714,-2.2633190450860314
Ru,340.0,22.18576061687478,450.0,15.0,0.07451068876315713,2.0687821689390584,0.08401978400864937,13.088231653780651,0.17654205863813374,1.9528552865395714,-2.240952503731298
Ru,345.0,22.173710502227063,450.0,15.0,0.0708362047771681,1.9667604714289284,0.08495711898017853,13.166935230149027,0.17139830520152727,1.9528552865395714,-2.2189892105293594
Ru,350.0,22.167291697123463,450.0,15.0,0.06740349379542906,1.8714515783288228,0.08591055919067761,13.244506341597068,0.1664964476683714,1.9528552865395714,-2.197416334133066
Ru,355.0,22.165981907487883,450.0,15.0,0.06419301116401098,1.7823128341859769,0.08687989802162574,13.32097711642869,0.1618209007371132,1.9528552865395714,-2.176221673812293
Ru,360.0,22.16405449238852,450.0,20.0,0.08500683722957834,2.3602067303048924,0.08877014898867082,13.396378334817275,0.16093663644836412,1.2796981086278416,-2.298187783863274
Ru,365.0,22.13898352532683,450.0,20.0,0.0810257781055423,2.2496730033187275,0.08974644741620279,13.470739503191364,0.15648267306875924,1.2796981086278416,-2.2773571361110827
Ru,370.0,22.119843193504266,450.0,20.0,0.07729365338168881,2.146050916217817,0.09073922921086806,13.544088923559588,0.15222852931228834,1.2796981086278416,-2.256877761034194
Ru,375.0,22.106119842108615,450.0,20.0,0.07379131009038432,2.0488086886820445,0.09174832725577084,13.616453758182507,0.14816188964981264,1.2796981086278416,-2.236739146651007
Ru,380.0,22.097348015486357,450.0,20.0,0.07050133520135098,1.957462849586072,0.09277359976507889,13.687860089961152,0.14427140121782883,1.2796981086278416,-2.2169312678046333
Ru,385.0,22.093105364234624,450.0,20.0,0.06740787383875685,1.871573189814183,0.09381492847517355,13.75833297887824,0.14054658289232774,1.2796981086278416,-2.1974445547302133
Ru,390.0,22.09300815617746,450.0,20.0,0.06449646894844759,1.790738310636258,0.09487221702388157,13.827896514797741,0.1369777444412228,1.2796981086278416,-2.1782698643159457
Ru,395.0,22.094383820519283,450.0,25.0,0.08489974694033754,2.3572333786351463,0.09682347244212408,13.896573866901088,0.13650020447370143,0.6291187330945023,-2.2976403215260293
Ru,400.0,22.07275636475512,450.0,25.0,0.08128496085122588,2.2568691875396416,0.09789100247877659,13.964387330013977,0.13307589180382456,0.6291187330945023,-2.2787441266780775
Ru,405.0,22.056011735379705,450.0,25.0,0.07787643763825657,2.1622318655331307,0.09897516251335904,14.031358368055468,0.1297914636574542,0.6291187330945023,-2.260140002812597
Ru,410.0,22.04376254448903,450.0,25.0,0.07465966209044146,2.0729183991665496,0.10007588553544168,14.097507654821312,0.1266390506161261,0.6291187330945023,-2.2418199457548544
Ru,415.0,22.03565474505356,450.0,25.0,0.07162132715883819,1.9885593194948343,0.10119312357483984,14.162855112295365,0.1236113457520937,0.6291187330945023,-2.223776290098596
Ru,420.0,22.031364397366296,450.0,25.0,0.06874921814198087,1.9088154864964542,0.1023268465929631,14.227419946666725,0.12070155597401246,0.6291187330945023,-2.2060016892453116
Ru,425.0,22.03059478781101,450.0,25.0,0.0660321094260842,1.833375222075018,0.10347704148545867,14.291220682215544,0.11790335831897406,0.6291187330945023,-2.1884890970079707
Ru,430.0,22.03307385680952,450.0,25.0,0.06345967224919306,1.7619517491396857,0.10464371118436151,14.354275193217052,0.11521086056550903,0.6291187330945023,-2.1712317505416374
Ru,435.0,22.421838851189662,450.0,30.0,0.08303082235538049,2.3053428657351667,0.10666884925628492,14.416600734001312,0.11499861872870144,0.0,-2.2879732650683824
Ru,440.0,22.40686972427415,450.0,30.0,0.07983424389837093,2.216590169669015,0.10784990735857633,14.47821396729515,0.11239849624366065,0.0,-2.270923142266102
Ru,445.0,22.395763378235106,450.0,30.0,0.07680327614856804,2.1324356390975288,0.10904820134702517,14.53913099096273,0.10989452307246697,0.0,-2.25411367162703
Ru,450.0,22.38823882060003,450.0,30.0,0.07392731268187569,2.0525847876669996,0.11026375861620896,14.599367363252169,0.10748179192377745,0.0,-2.2375388453022658
Ru,455.0,22.384037168798933,450.0,30.0,0.07119655184025543,1.9767654732765731,0.11149662130936241,14.658938126647191,0.10515571425983537,0.0,-2.221192886365451
Ru,460.0,22.38291969113022,450.0,30.0,0.0686019263174384,1.90472594303226,0.11274684569648781,14.717857830415387,0.10291199520731933,0.0,-2.2050702364874795
Ru,465.0,22.384666042765378,450.0,30.0,0.06613503971624358,1.8362330717669226,0.11401450161669757,14.7761405519375,0.10074661078273728,0.0,-2.189165544466578
Ru,470.0,22.38907267519201,450.0,30.0,0.063788109307372,1.7710707727436563,0.1152996719791461,14.833799916896112,0.09865578718814001,0.0,-2.1734736555403393
Ru,475.0,22.395951400130233,450.0,30.0,0.0615539143134143,1.709038561766189,0.1166024523175341,14.890849118396044,0.096635981961828,0.0,-2.157989601413697
Ru,480.0,22.405128091243498,450.0,30.0,0.05942574912318863,1.6499502581794334,0.11792295039372505,14.947300935083636,0.09468386679382707,0.0,-2.1427085909435335
Ru,485.0,22.416441508948715,450.0,30.0,0.05739738091217597,1.5936328082049178,0.11926128584649943,15.00316774832717,0.0927963118379248,0.0,-2.127626001426404
Ru,490.0,22.429742235356425,450.0,30.0,0.0554630112063057,1.5399252177629537,0.12061758988190686,15.058461558516175,0.09097037137105753,0.0,-2.1127373704410433
Ru,495.0,22.444891707877265,450.0,30.0,0.05361724097995095,1.4886775834218062,0.12199200500205865,15.113194000533339,0.08920327066763967,0.0,-2.0980383882019913
Ru,500.0,22.461761341344225,450.0,30.0,0.05185503892579792,1.4397502114136413,0.12338468476954446,15.167376358448866,0.08749239397097669,0.0,-2.083524890384698
Ru,505.0,22.480231729650335,450.0,30.0,0.05017171257521962,1.3930128157944563,0.12479579360496112,15.221019579483757,0.08583527345683106,0.0,-2.0691928513861733
Ru,510.0,22.5001919189083,450.0,30.0,0.048562881983682527,1.3483437878219038,0.12622550661531168,15.274134287285202,0.08422957909540035,0.0,-2.055038377988503
Ru,515.0,22.52153874502341,450.0,30.0,0.04702445572723051,1.3056295294999583,0.12767400945127663,15.326730794554368,0.08267310932802185,0.0,-2.041057703395469
Ru,520.0,22.544176229344338,450.0,30.0,0.04555260898369523,1.2647638450058105,0.12914149819157156,15.378819115064102,0.08116378248322839,0.0,-2.0272471816140594
Ru,525.0,22.568015026764588,450.0,30.0,0.04414376349738939,1.225647384411489,0.13062817925283401,15.43040897510162,0.07969962886690084,0.0,-2.013603282161594
Ru,530.0,22.592971921209788,450.0,30.0,0.04279456924632073,1.1881871346758017,0.13213426932360095,15.481509824368839,0.07827878346400138,0.0,-2.0001225850700184
Ru,535.0,22.61896936393453,450.0,30.0,0.04150188764869277,1.1522959533744321,0.1336599953210309,15.532130846370961,0.07689947919085838,0.0,-1.98680177614566
Ru,540.0,22.645935050839604,450.0,30.0,0.04026277617161545,1.1178921413622578,0.1352055943696268,15.582280968321824,0.07556004067415209,0.0,-1.9736376425399413
Ru,545.0,22.673801534835633,450.0,30.0,0.03907447420198325,1.084899050479627,0.136771313800478,15.631968870592768,0.07425887847698368,0.0,-1.9606270685083484
Ru,550.0,22.702505870273317,450.0,30.0,0.037934390071211715,1.0532447232954074,0.1383574111705556,15.68120299573004,0.0729944837592077,0.0,-1.9477670314209354
Ru,555.0,22.731989286413256,450.0,30.0,0.036840089126100636,1.0228615618956385,0.13996415430116715,15.729991557064139,0.07176542332535361,0.0,-1.935054597977963
Ru,560.0,22.76219688732716,450.0,30.0,0.03578928275228125,0.9936860231205901,0.14159182133495543,15.778342546933086,0.0705703350294247,0.0,-1.9224869206223083
Ru,565.0,22.793077375864712,450.0,30.0,0.03477981826548467,0.9656583378967942,0.14324070081089613,15.826263744540197,0.06940792350707013,0.0,-1.9100612341360497
Ru,570.0,22.82458279955374,450.0,30.0,0.03380966959417934,0.9387222525413627,0.14491109175683187,15.8737627234657,0.0682769562084724,0.0,-1.8977748524096172
Ru,575.0,22.856668316508248,450.0,30.0,0.03287692868454394,0.912824790121879,0.14660330379916492,15.920846858850277,0.06717625970761784,0.0,-1.8856251653727558
Ru,580.0,22.889291979605268,450.0,30.0,0.03197979756537653,0.8879160301393569,0.1483176572894016,15.967523334267671,0.06610471626594637,0.0,-1.8736096360773558
Ru,585.0,22.92241453735716,450.0,30.0,0.031116581016478136,0.863948904966611,0.15005448344731429,16.01379914830229,0.06506126063023793,0.0,-1.8617257979229322
Ru,590.0,22.955999250055186,450.0,30.0,0.03028567978936997,0.8408790116221152,0.15181412452055223,16.059681120846914,0.06404487704648375,0.0,-1.8499712520161926
Ru,595.0,22.990011719907802,450.0,30.0,0.029485584334394143,0.8186644376035535,0.1535969339606194,16.105175899134654,0.06305459647461181,0.0,-1.8383436646628921
Ru,600.0,23.024419733913135,450.0,30.0,0.02871486898951811,0.7972655995405284,0.1554032766150221,16.150289963518524,0.06208949397899647,0.0,-1.826840764946414
Ru,605.0,23.059193118636763,450.0,30.0,0.027972186599400057,0.7766450937934256,0.15723352893599213,16.195029633011217,0.061148686306433275,0.0,-1.815460342485421
Ru,610.0,23.09430360560205,450.0,30.0,0.027256263520505013,0.7567675577709381,0.15908807920530266,16.23940107059683,0.06023132960319,0.0,-1.8042002452264247
Ru,615.0,23.129724706671077,450.0,30.0,0.026565894988074615,0.7375995412944236,0.16096732777572764,16.283410288325864,0.05933661728746458,0.0,-1.7930583773731112
Ru,620.0,23.165431598508043,450.0,30.0,0.025899940813014825,0.719109387122403,0.16287168732913668,16.32706315220386,0.05846377805477903,0.0,-1.7820326974017768
