draw,E_N_Fe,E_N_Ru,E_N_Os,n_feasible,atomic_winner,raw_cost_winner,economic_winner,Fe_feasible,rho_raw,rho_censored,top1,top3_actionable
306,-1.406802194062342,-1.2088119611582648,-1.2102810959435266,3,Ru,Fe,Fe,1,0.9392857142857142,0.684172319121686,0.0,1.0
307,-1.146241652391532,-1.0164639017150772,-1.0044511615495653,4,Fe,Fe,Fe,1,0.9571428571428571,0.7791937224739796,1.0,1.0
308,-1.5231313732139555,-1.2532771648901828,-1.0875764955187615,3,Os,Ru,Ru,1,0.9535714285714283,0.684172319121686,0.0,1.0
309,-1.413298280311303,-1.1094170371495151,-1.0114855074499096,3,Ru,Fe,Fe,1,0.9607142857142855,0.684172319121686,0.0,1.0
310,-1.1352407058735074,-1.156197851809592,-1.2308729829454557,3,Ru,Fe,Fe,1,0.95,0.6943838462727558,0.0,1.0
311,-1.6383533907775458,-1.2369363917460772,-1.1203044171659604,3,Os,Ru,Ru,0,0.95,0.6943838462727558,0.0,1.0
312,-1.3143519132664356,-1.0002254491740101,-0.9791898638186638,3,Ru,Fe,Fe,1,0.9214285714285713,0.684172319121686,0.0,1.0
313,-1.5478991132457716,-1.2001546784627621,-1.2235028702962862,3,Ru,Ru,Ru,1,0.8964285714285712,0.6994896098482908,1.0,1.0
314,-1.5436144781075873,-1.0159643727042895,-0.9938222722300225,3,Ru,Ru,Ru,1,0.9107142857142855,0.6560906194562437,1.0,0.6666666666666666
315,-1.5331304577560916,-1.0941040628230554,-1.0899404133570756,3,Ru,Ru,Ru,1,0.9428571428571427,0.6943838462727558,1.0,1.0
316,-1.3352512150986362,-1.2192827435837796,-1.1030403365150108,3,Ru,Fe,Fe,1,0.9714285714285713,0.684172319121686,0.0,1.0
317,-1.2531005049099908,-1.045768982510366,-1.0855974993494668,3,Os,Fe,Fe,1,0.9678571428571429,0.684172319121686,0.0,1.0
318,-1.3395982280152827,-1.2691277940264225,-0.9630825371009044,3,Ru,Fe,Fe,1,0.9607142857142855,0.684172319121686,0.0,1.0
319,-1.3740204191675274,-1.1707085000792745,-1.0735740994913117,4,Ru,Fe,Fe,1,0.9642857142857141,0.7654432450185562,0.0,1.0
320,-1.235440144573186,-1.0419689038501947,-0.980297624890391,3,Fe,Fe,Fe,1,0.9178571428571428,0.6994896098482908,1.0,1.0
321,-1.311666585810928,-0.9928111564284847,-1.1712627587113789,3,Os,Fe,Fe,1,0.9285714285714284,0.679066555546151,0.0,1.0
322,-1.690269943281042,-1.1776967241093403,-1.1846895487578637,3,Ru,Ru,Ru,0,0.9535714285714283,0.6994896098482908,1.0,1.0
323,-1.2988495320943505,-1.142248575911648,-1.1765649844908357,3,Os,Fe,Fe,1,0.932142857142857,0.679066555546151,0.0,1.0
324,-1.6289107592904613,-1.0273399398985419,-1.1998765158784241,2,Os,Ru,Ru,0,0.9035714285714285,0.5855711622047578,0.0,0.6666666666666666
