E_N_eV,gain_673K,Ru_min_feasible_cost
-0.78,0.014391315550533195,43.469195862526924
-0.775,0.013163691553917018,44.93356303377752
-0.77,0.012035711703203023,46.54111232927906
-0.765,0.010999868839126724,48.32052985000211
-0.76,0.010049153663149403,50.30449442471619
-0.755,0.009177029826371322,52.51679114195154
-0.75,0.00837740923381785,54.98399620143152
-0.745,0.007644627724020377,57.73580698843656
-0.74,0.006973421257649458,60.78416861498472
-0.735,0.006358902725239326,64.0399175977329
-0.73,0.005796539462682417,67.65986473280489
-0.725,0.005282131544100582,71.68878233895492
-0.72,0.004811790904756719,76.17693304525456
-0.715,0.004381921331770269,81.18051209704498
-0.71,0.003989199347365553,86.76219619289746
-0.705,0.0036305559980956935,92.99243359825587
-0.7,0.003303159553793023,99.94999094188562
-0.695,0.0030043991117537877,107.72296555173524
-0.69,0.0027318690947438122,116.40942220189383
-0.685,0.0024833546256665074,126.12024318683054
-0.68,0.002256817757051016,136.9780006265487
-0.675,0.0020503845297662505,149.12130700969928
-0.67,0.0018623328324471997,162.70467429997856
-0.665,0.0016910810309193152,177.90097822821602
-0.66,0.0015351773353386104,194.90355373338588
-0.655,0.0013932898717401129,213.93044634513302
-0.65,0.0012641974241273963,235.22301220331613
-0.645,0.0011467808130714628,259.05447380048963
-0.64,0.0010400148769548663,285.7294688055994
-0.635,0.0009429610224405697,315.58919768867713
-0.63,0.0008547603114136681,349.01602659193486
-0.625,0.0007746270524966394,386.4384827590695
-0.62,0.0007018428662327586,428.33686020861194
-0.615,0.0006357511941381536,475.24951082353033
-0.61,0.0005757522230088773,527.7793964277431
-0.605,0.0005212981971117968,586.6000187874764
-0.6,0.00047188909216582496,652.4718686132879
-0.595,0.0004270686263142303,726.2423485871573
-0.59,0.0003864205845850477,808.862210265838
-0.585,0.00034956543462270017,901.4008013698473
-0.58,0.00031615721273870476,1005.0501140846267
-0.575,0.0002858806605652329,1121.155255369985
-0.57,0.0002584485937958599,1251.2165817895025
-0.565,0.00023359948565705545,1396.9211052946014
-0.56,0.00021109524886945595,1560.1633945356411
-0.555,0.0001907192009258657,1743.0544464359762
-0.55,0.00017227419853207905,1947.9841233354305
-0.545,0.0001555809280259386,2177.6155887247114
-0.54,0.00014047633950928877,2434.9383010912593
-0.535,0.00012681221329659877,
-0.53,0.00011445384810416472,
-0.525,0.00010327886117556112,
-0.52,9.317609126391258e-05,
-0.515,8.404459607118897e-05,
-0.51,7.579273638063833e-05,
-0.505,6.833733971255821e-05,
-0.5,6.16029368878078e-05,
-0.495,5.552106539964627e-05,
-0.49,5.002963397460975e-05,
-0.485,4.5072343149265416e-05,
-0.48,4.0598157103562005e-05,
-0.475,3.65608223752133e-05,
-0.47,3.2918429434786524e-05,
-0.465,2.9633013429796774e-05,
-0.46,2.6670190709821985e-05,
-0.455,2.3998828025069225e-05,
-0.45,2.159074154953973e-05,
-0.445,1.9420423118444924e-05,
-0.44,1.7464791289223924e-05,
-0.435,1.570296503773153e-05,
-0.43,1.4116058087211732e-05,
-0.425,1.2686992038674063e-05,
-0.42,1.1400326628405303e-05,
-0.415,1.024210558260763e-05,
-0.41,9.199716671525525e-06,
-0.405,8.261764686842123e-06,
-0.4,7.417956177408743e-06,
-0.395,6.6589948803517865e-06,
-0.39,5.9764868779747765e-06,
-0.385,5.362854596355734e-06,
-0.38,4.811258839745653e-06,
-0.375,4.315528126401366e-06,
-0.37,3.870094656872627e-06,
-0.365,3.4699363055144614e-06,
-0.36,3.110524080578915e-06,
-0.355,2.7877745480780048e-06,
-0.35,2.4980067601014013e-06,
-0.345,2.2379032697841904e-06,
-0.34,2.004474852982715e-06,
-0.335,1.7950285912411698e-06,
-0.33,1.6071390021054506e-06,
-0.325,1.438621931518519e-06,
-0.32,1.2875109491579426e-06,
-0.315,1.1520360113698428e-06,
-0.31,1.030604178014926e-06,
-0.305,9.217821892593332e-07,
-0.3,8.242807262826229e-07,
-0.295,7.369401961948013e-07,
-0.29,6.587178962956047e-07,
-0.285,5.886764263022362e-07,
-0.28,5.259732294359443e-07,
-0.275,4.6985115440259925e-07,
-0.27,4.196299404265482e-07,
-0.265,3.746985366922707e-07,
-0.26,3.3450817589792284e-07,
-0.255,2.985661292040105e-07,
-0.25,2.66430076739308e-07,
-0.245,2.3770303406757373e-07,
-0.24,2.1202878068021904e-07,
-0.235,1.8908774171495356e-07,
-0.23,1.6859327875596334e-07,
-0.225,1.5028834979142804e-07,
-0.22,1.339425022290914e-07,
-0.215,1.1934916633589405e-07,
-0.21,1.0632321960713779e-07,
-0.205,9.46987954136477e-08,
-0.2,8.43273118497846e-08,
-0.195,7.507569903549724e-08,
-0.19,6.682480523478787e-08,
-0.185,5.946796406136681e-08,
-0.18,5.29097067687246e-08,
-0.175,4.706460518335369e-08,
-0.17,4.1856232251780116e-08,
-0.165,3.72162284485698e-08,
-0.16,3.308346344617565e-08,
-0.155,2.940328349006385e-08,
-0.15,2.6126835864454377e-08,
-0.145,2.3210462684764287e-08,
-0.14,2.0615157021117726e-08,
-0.135,1.830607505092762e-08,
-0.13,1.6252098564651307e-08,
-0.125,1.4425442713849709e-08,
-0.12,1.2801304400481898e-08,
-0.115,1.1357547166215033e-08,
-0.11,1.007441885525915e-08,
-0.105,8.93429869816293e-09,
-0.1,7.921470801094348e-09,
-0.095,7.021921328916838e-09,
-0.09,6.223156944106242e-09,
-0.085,5.514042310140857e-09,
-0.08,4.8846546900875146e-09,
-0.075,4.326153871082547e-09,
-0.07,3.830665825434148e-09,
-0.065,3.3911786811055742e-09,
-0.06,3.0014497201372725e-09,
